"story","partner","n","benefit","ci_lower","mean","ci_upper"
"gifts","generous_actor",58,2.75438596491228,2.35279111644658,2.7617678742275,3.20024193548387
"gifts","recipient",58,6.05172413793103,5.65077380952381,6.05143918654607,6.40746812386157
"babysitting","generous_actor",58,2.67241379310345,2.36167596791071,2.67647864221149,3.05731003039514
"babysitting","recipient",58,5.91379310344828,5.53968253968254,5.90549661759472,6.20841346153846
"police","generous_actor",58,2.63793103448276,2.26059782608696,2.63486546437201,3.00036764705882
"police","recipient",58,5.81034482758621,5.48072916666667,5.81074084532522,6.14285714285714
"groceries","generous_actor",58,2.58620689655172,2.23524509803922,2.57921209234629,2.94347203504043
"groceries","recipient",58,5.51724137931035,5.13628787878788,5.51232275624557,5.85010416666667
"concerts","generous_actor",58,3.19642857142857,2.84901662935721,3.19169754863197,3.54
"concerts","recipient",58,5.87931034482759,5.50975723622782,5.88315615985078,6.21878125
"restaurant","generous_actor",58,2.63793103448276,2.38179653679654,2.63669825940933,2.92742424242424
"restaurant","recipient",58,5.20689655172414,4.73318181818182,5.19865599219638,5.60878438331854
"family meals","generous_actor",58,3.22413793103448,2.85245901639344,3.2159903416682,3.56530264279625
"family meals","recipient",58,5.46551724137931,4.98112300435414,5.47144605997188,5.91806583818086
"scheduling","generous_actor",58,2.87931034482759,2.55315480557594,2.88816236974406,3.23079710144928
"scheduling","recipient",58,5,4.64,5.01730084717698,5.37299328429805
"coffee","generous_actor",58,3.03448275862069,2.65712053571429,3.03085630284008,3.41310200668896
"coffee","recipient",58,5.06896551724138,4.64403753026634,5.06972522670861,5.46671875
"weekend","generous_actor",58,3.25862068965517,2.92152941176471,3.26270440555362,3.62718141870684
"weekend","recipient",58,5.07017543859649,4.63636363636364,5.06296657359407,5.44905647190383
"feedback","generous_actor",58,3.8448275862069,3.42295454545455,3.84916765936142,4.2712249614792
"feedback","recipient",58,5.1551724137931,4.81533898305085,5.1581644367577,5.5
"architects","generous_actor",58,3.93103448275862,3.5,3.92398560017967,4.36107330652645
"architects","recipient",58,5.12280701754386,4.66071428571429,5.1133898759715,5.53064481111594
"meeting prep","generous_actor",58,3.24137931034483,2.87271760154739,3.2508969803958,3.61041525423729
"meeting prep","recipient",58,4.41379310344828,3.97797101449275,4.40437010229903,4.83346774193548
"housemates","generous_actor",58,4.2280701754386,3.87268328445748,4.21832506763798,4.58938407990315
"housemates","recipient",58,5.28070175438596,4.8926510989011,5.28229420422956,5.6250612745098
"fundraising","generous_actor",58,3.75862068965517,3.39614218328841,3.74795478559099,4.14007142857143
"fundraising","recipient",58,4.68421052631579,4.25443181818182,4.68835442329284,5.12511574074074
"conversation","generous_actor",58,3.77586206896552,3.39992063492064,3.77537360352817,4.15793287566743
"conversation","recipient",58,4.6551724137931,4.30605867346939,4.65078005881321,5
"meeting location","generous_actor",58,3.25862068965517,2.81119902617164,3.25179884233116,3.66179104477612
"meeting location","recipient",58,3.64285714285714,3.22639987827145,3.64249741568584,4.09594413107709
"group project","generous_actor",58,4.29310344827586,3.84892393867925,4.29294915640227,4.70494214079074
"group project","recipient",58,4.12068965517241,3.7421176046176,4.11908065764977,4.49152542372881
