"story","partner","n","effort","ci_lower","mean","ci_upper"
"gifts","generous_actor",59,5.83050847457627,5.50875104427736,5.82364048926906,6.11676724137931
"gifts","recipient",59,2.1864406779661,1.82744449692962,2.1885729524286,2.61768207282913
"babysitting","generous_actor",59,5.72881355932203,5.42101018675722,5.72909605940322,6.02791666666667
"babysitting","recipient",59,3.06779661016949,2.6980214884696,3.06215764293697,3.45333533653846
"police","generous_actor",59,5.49152542372881,5.14029038112523,5.48408335435781,5.79417211328976
"police","recipient",59,2.77966101694915,2.38773864384463,2.78067390008186,3.13805418719212
"groceries","generous_actor",59,5.50847457627119,5.25530871923237,5.50524969846697,5.76290636287858
"groceries","recipient",59,3.67796610169492,3.26762623152709,3.67009077015972,4.0806698485846
"concerts","generous_actor",59,4.98305084745763,4.60654495777447,4.98087015285935,5.35605029174771
"concerts","recipient",59,2.50847457627119,2.22792397660819,2.51452695654518,2.83090909090909
"restaurant","generous_actor",59,3.84745762711864,3.48,3.83794724072994,4.20702716823406
"restaurant","recipient",59,3.38983050847458,3.03243017607772,3.39257829865786,3.77969003947063
"family meals","generous_actor",59,6.32203389830508,6.08925945378151,6.31837477468288,6.50704735660339
"family meals","recipient",59,2.72881355932203,2.3845,2.72003747807275,3.09685483870968
"scheduling","generous_actor",59,4.28813559322034,3.93548387096774,4.28803110084775,4.65456112852665
"scheduling","recipient",59,3.28813559322034,2.95733876329787,3.29055915827847,3.64925837320574
"coffee","generous_actor",59,4.72881355932203,4.35837445573295,4.7225116330197,5.10349364791289
"coffee","recipient",59,2.64406779661017,2.3191247582205,2.6448354964138,2.98733766233766
"weekend","generous_actor",59,5.46551724137931,5.19144350696992,5.46476772936818,5.72
"weekend","recipient",59,3.66101694915254,3.22904094827586,3.65866578600413,4.10544848035582
"feedback","generous_actor",59,4.91525423728814,4.61666666666667,4.92052473091111,5.2264838836478
"feedback","recipient",59,4.6271186440678,4.31660714285714,4.61699613808847,4.950078125
"architects","generous_actor",59,5.44067796610169,5.14285714285714,5.44420628016747,5.73080985915493
"architects","recipient",59,3.72413793103448,3.36053764934704,3.72602825201208,4.10013157894737
"meeting prep","generous_actor",59,5.23728813559322,4.91666666666667,5.24343898270845,5.55264557670773
"meeting prep","recipient",59,2.64406779661017,2.32744739918176,2.64602468559471,2.97344444444444
"housemates","generous_actor",59,5.59322033898305,5.29763707037643,5.59357088764177,5.87037037037037
"housemates","recipient",59,3.67796610169492,3.30905594405594,3.67161324024,4.05367445054945
"fundraising","generous_actor",59,5.88135593220339,5.65623719262295,5.87966734177,6.09616935483871
"fundraising","recipient",59,3.25423728813559,2.90314516129032,3.25565398954184,3.61128787878788
"conversation","generous_actor",59,4.66101694915254,4.3683451417004,4.66119235764407,4.95122934697089
"conversation","recipient",59,4.77966101694915,4.5,4.78391836334069,5.08513389581805
"meeting location","generous_actor",59,3.86440677966102,3.49056603773585,3.86645079819115,4.25865517241379
"meeting location","recipient",59,2.69491525423729,2.36363636363636,2.69697307134835,3.04001351351351
"group project","generous_actor",59,5.27118644067797,4.95234192037471,5.25936935414668,5.55745777446597
"group project","recipient",59,3.47457627118644,3.12693452380952,3.48143189571275,3.84622641509434
