"subject_id","story","relationship","next_interaction","likert_rating"
"058ba3b094fb7b2182f2eccda8727018","feedback","symmetric","repeating",5
"058ba3b094fb7b2182f2eccda8727018","feedback","symmetric","alternating",5
"058ba3b094fb7b2182f2eccda8727018","feedback","symmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","scheduling","no_info","repeating",3
"058ba3b094fb7b2182f2eccda8727018","scheduling","no_info","alternating",4
"058ba3b094fb7b2182f2eccda8727018","scheduling","no_info","none",5
"058ba3b094fb7b2182f2eccda8727018","group project","symmetric","repeating",3
"058ba3b094fb7b2182f2eccda8727018","group project","symmetric","alternating",5
"058ba3b094fb7b2182f2eccda8727018","group project","symmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","meeting prep","symmetric","repeating",3
"058ba3b094fb7b2182f2eccda8727018","meeting prep","symmetric","alternating",5
"058ba3b094fb7b2182f2eccda8727018","meeting prep","symmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","weekend","no_info","repeating",3
"058ba3b094fb7b2182f2eccda8727018","weekend","no_info","alternating",5
"058ba3b094fb7b2182f2eccda8727018","weekend","no_info","none",5
"058ba3b094fb7b2182f2eccda8727018","police","asymmetric","repeating",6
"058ba3b094fb7b2182f2eccda8727018","police","asymmetric","alternating",2
"058ba3b094fb7b2182f2eccda8727018","police","asymmetric","none",1
"058ba3b094fb7b2182f2eccda8727018","housemates","asymmetric","repeating",6
"058ba3b094fb7b2182f2eccda8727018","housemates","asymmetric","alternating",2
"058ba3b094fb7b2182f2eccda8727018","housemates","asymmetric","none",4
"058ba3b094fb7b2182f2eccda8727018","gifts","asymmetric","repeating",5
"058ba3b094fb7b2182f2eccda8727018","gifts","asymmetric","alternating",3
"058ba3b094fb7b2182f2eccda8727018","gifts","asymmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","family meals","asymmetric","repeating",5
"058ba3b094fb7b2182f2eccda8727018","family meals","asymmetric","alternating",3
"058ba3b094fb7b2182f2eccda8727018","family meals","asymmetric","none",2
"058ba3b094fb7b2182f2eccda8727018","concerts","asymmetric","repeating",5
"058ba3b094fb7b2182f2eccda8727018","concerts","asymmetric","alternating",3
"058ba3b094fb7b2182f2eccda8727018","concerts","asymmetric","none",4
"058ba3b094fb7b2182f2eccda8727018","architects","symmetric","repeating",3
"058ba3b094fb7b2182f2eccda8727018","architects","symmetric","alternating",5
"058ba3b094fb7b2182f2eccda8727018","architects","symmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","groceries","no_info","repeating",5
"058ba3b094fb7b2182f2eccda8727018","groceries","no_info","alternating",5
"058ba3b094fb7b2182f2eccda8727018","groceries","no_info","none",5
"058ba3b094fb7b2182f2eccda8727018","babysitting","no_info","repeating",2
"058ba3b094fb7b2182f2eccda8727018","babysitting","no_info","alternating",4
"058ba3b094fb7b2182f2eccda8727018","babysitting","no_info","none",4
"058ba3b094fb7b2182f2eccda8727018","restaurant","symmetric","repeating",2
"058ba3b094fb7b2182f2eccda8727018","restaurant","symmetric","alternating",6
"058ba3b094fb7b2182f2eccda8727018","restaurant","symmetric","none",4
"058ba3b094fb7b2182f2eccda8727018","coffee","asymmetric","repeating",5
"058ba3b094fb7b2182f2eccda8727018","coffee","asymmetric","alternating",3
"058ba3b094fb7b2182f2eccda8727018","coffee","asymmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","meeting location","symmetric","repeating",3
"058ba3b094fb7b2182f2eccda8727018","meeting location","symmetric","alternating",5
"058ba3b094fb7b2182f2eccda8727018","meeting location","symmetric","none",3
"058ba3b094fb7b2182f2eccda8727018","fundraising","no_info","repeating",3
"058ba3b094fb7b2182f2eccda8727018","fundraising","no_info","alternating",5
"058ba3b094fb7b2182f2eccda8727018","fundraising","no_info","none",4
"058ba3b094fb7b2182f2eccda8727018","conversation","no_info","repeating",4
"058ba3b094fb7b2182f2eccda8727018","conversation","no_info","alternating",4
"058ba3b094fb7b2182f2eccda8727018","conversation","no_info","none",4
