subject_id,story,altruistic_status,first_meeting,stage,response,response_status,strategy,understood,pass_attention
372d858aec291cf8ef32ff84013ff724,feedback,less,bob,first,bob,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,feedback,less,bob,second,bob,less,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,scheduling,more,alice,first,bob,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,scheduling,more,alice,second,alice,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,coffee,more,alice,first,alice,more,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,coffee,more,alice,second,alice,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,babysitting,equal,alice,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,babysitting,equal,alice,second,bob,equal,alternating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,restaurant,less,alice,first,alice,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,restaurant,less,alice,second,bob,more,alternating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,police,equal,bob,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,police,equal,bob,second,bob,equal,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,architects,more,bob,first,alice,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,architects,more,bob,second,bob,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,fundraising,less,bob,first,alice,more,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,fundraising,less,bob,second,bob,less,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,concerts,more,alice,first,bob,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,concerts,more,alice,second,alice,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,gifts,more,bob,first,bob,more,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,gifts,more,bob,second,bob,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,groceries,equal,bob,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,groceries,equal,bob,second,alice,equal,alternating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,housemates,equal,alice,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,housemates,equal,alice,second,alice,equal,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,group project,equal,alice,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,group project,equal,alice,second,alice,equal,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,conversation,less,bob,first,alice,more,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,conversation,less,bob,second,bob,less,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,weekend,equal,bob,first,alice,equal,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,weekend,equal,bob,second,alice,equal,alternating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,meeting prep,more,bob,first,alice,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,meeting prep,more,bob,second,bob,more,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,meeting location,less,alice,first,alice,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,meeting location,less,alice,second,alice,less,repeating,yes,TRUE
372d858aec291cf8ef32ff84013ff724,family meals,less,alice,first,alice,less,NA,yes,TRUE
372d858aec291cf8ef32ff84013ff724,family meals,less,alice,second,alice,less,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,groceries,more,bob,first,alice,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,groceries,more,bob,second,alice,less,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,gifts,equal,bob,first,alice,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,gifts,equal,bob,second,alice,equal,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,restaurant,less,alice,first,alice,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,restaurant,less,alice,second,bob,more,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,meeting location,less,bob,first,bob,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,meeting location,less,bob,second,bob,less,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,family meals,more,alice,first,bob,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,family meals,more,alice,second,bob,less,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,scheduling,less,bob,first,bob,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,scheduling,less,bob,second,alice,more,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,conversation,less,alice,first,bob,more,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,conversation,less,alice,second,alice,less,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,coffee,more,bob,first,alice,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,coffee,more,bob,second,alice,less,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,meeting prep,equal,alice,first,alice,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,meeting prep,equal,alice,second,bob,equal,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,architects,more,bob,first,alice,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,architects,more,bob,second,bob,more,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,feedback,equal,bob,first,bob,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,feedback,equal,bob,second,alice,equal,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,police,equal,alice,first,alice,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,police,equal,alice,second,bob,equal,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,fundraising,equal,alice,first,bob,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,fundraising,equal,alice,second,alice,equal,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,weekend,equal,bob,first,bob,equal,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,weekend,equal,bob,second,bob,equal,repeating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,concerts,less,alice,first,bob,more,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,concerts,less,alice,second,bob,more,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,babysitting,more,alice,first,bob,less,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,babysitting,more,alice,second,bob,less,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,housemates,less,bob,first,alice,more,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,housemates,less,bob,second,alice,more,alternating,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,group project,more,alice,first,alice,more,NA,yes,TRUE
3f2e1351440260d7f1f168372dbbab17,group project,more,alice,second,alice,more,repeating,yes,TRUE
1e27d722ec47a17b0c3df46f9afec95c,gifts,more,bob,first,alice,less,NA,yes,TRUE
1e27d722ec47a17b0c3df46f9afec95c,gifts,more,bob,second,bob,more,repeating,yes,TRUE
