"story","effort_diff","benefit_diff","n","empirical_stat","ci_lower","mean","ci_upper"
"architects",1.71654003506721,1.19177253478524,113,0.081081081081081,-0.142857142857143,0.0800150696018451,0.305555555555556
"babysitting",2.66101694915254,3.24137931034483,113,-0.6,-0.781264204545455,-0.598743362377235,-0.407407407407407
"coffee",2.08474576271186,2.03448275862069,113,0.054054054054054,-0.171428571428571,0.0539811594329361,0.267605633802817
"concerts",2.47457627118644,2.68288177339901,113,0.626666666666667,0.452372798434442,0.628992802109044,0.802816901408451
"conversation",-0.11864406779661,0.879310344827586,113,0.61038961038961,0.434627329192547,0.612857123015288,0.781264204545455
"family meals",3.59322033898305,2.24137931034483,113,0.256410256410256,0.036144578313253,0.255959505216758,0.469914139315884
"feedback",0.288135593220339,1.31034482758621,113,0.461538461538461,0.253012048192771,0.462098175345551,0.648682432432432
"fundraising",2.6271186440678,0.925589836660617,113,0.68421052631579,0.5,0.681638450566535,0.833430232558139
"gifts",3.64406779661017,3.29733817301875,113,0.388888888888889,0.147049019607843,0.387889907708401,0.587301587301587
"groceries",1.83050847457627,2.93103448275862,113,-0.36,-0.575036764705882,-0.366538843761415,-0.153846153846154
"group project",1.79661016949153,0.172413793103448,113,0.68,0.51512987012987,0.68072485696662,0.836131676361713
"housemates",1.91525423728814,1.05263157894737,113,-0.131578947368421,-0.352133388566694,-0.124829493011831,0.107702702702703
"meeting location",1.16949152542373,0.38423645320197,113,-0.721518987341772,-0.861111111111111,-0.72014710580929,-0.552621759622938
"meeting prep",2.59322033898305,1.17241379310345,113,-0.0555555555555556,-0.27536231884058,-0.0515560010008648,0.179508196721311
"police",2.71186440677966,3.17241379310345,113,-0.466666666666667,-0.657161654135338,-0.467435236664299,-0.265794862248697
"restaurant",0.457627118644068,2.56896551724138,113,-0.569620253164557,-0.733373493975904,-0.567886668118641,-0.37496234939759
"scheduling",1,2.12068965517241,113,-0.534246575342466,-0.714285714285714,-0.534325204957417,-0.325276782806903
"weekend",1.80450029222677,1.81155474894132,113,-0.342465753424657,-0.552704678362573,-0.344248692351217,-0.116738816738817
