subject_id,scenario_id,partner_status,relationship,partner_first_choice,participant_first_choice,first_choices,participant_first_choice_generous,coordination,successful_first_time,participant_second_choice,participant_second_choice_generous,strategy,strategy_repeating,passed_attention_checks
00ab558c3cc236980f5ba446c548433f,gift,lower,unequal,give,give,give_give,1,FALSE,FALSE,receive,0,repeating,1,2
00ab558c3cc236980f5ba446c548433f,meal,equal,equal,give,give,give_give,1,FALSE,FALSE,receive,0,repeating,1,2
00ab558c3cc236980f5ba446c548433f,meeting place,lower,unequal,receive,receive,receive_receive,0,FALSE,FALSE,give,1,repeating,1,2
00ab558c3cc236980f5ba446c548433f,object carrying,higher,unequal,give,give,give_give,1,FALSE,FALSE,receive,0,repeating,1,2
00ab558c3cc236980f5ba446c548433f,song preference,higher,unequal,receive,give,give_receive,1,TRUE,TRUE,give,1,repeating,1,2
00ab558c3cc236980f5ba446c548433f,task checking,equal,equal,receive,receive,receive_receive,0,FALSE,FALSE,give,1,repeating,1,2
014ecc578c1e71c9d83e9ae8bc1761e0,gift,lower,unequal,give,give,give_give,1,FALSE,FALSE,give,1,alternating,0,2
014ecc578c1e71c9d83e9ae8bc1761e0,meal,equal,equal,give,give,give_give,1,FALSE,FALSE,give,1,alternating,0,2
014ecc578c1e71c9d83e9ae8bc1761e0,meeting place,higher,unequal,receive,give,give_receive,1,TRUE,TRUE,give,1,repeating,1,2
014ecc578c1e71c9d83e9ae8bc1761e0,object carrying,lower,unequal,receive,receive,receive_receive,0,FALSE,FALSE,give,1,repeating,1,2
014ecc578c1e71c9d83e9ae8bc1761e0,song preference,equal,equal,receive,give,give_receive,1,TRUE,TRUE,receive,0,alternating,0,2
014ecc578c1e71c9d83e9ae8bc1761e0,task checking,higher,unequal,give,give,give_give,1,FALSE,FALSE,give,1,alternating,0,2
01869295239e76e3c576923ec9a65045,gift,equal,equal,receive,receive,receive_receive,0,FALSE,FALSE,receive,0,alternating,0,2
01869295239e76e3c576923ec9a65045,meal,lower,unequal,receive,receive,receive_receive,0,FALSE,FALSE,give,1,repeating,1,2
01869295239e76e3c576923ec9a65045,meeting place,equal,equal,give,give,give_give,1,FALSE,FALSE,give,1,alternating,0,2
01869295239e76e3c576923ec9a65045,object carrying,lower,unequal,give,receive,receive_give,0,TRUE,TRUE,receive,0,repeating,1,2
